OrderID,OrderDate,Product,Category,Quantity,UnitPrice,Region,StockLevel
48,2024-09-30,Laptop,Furniture,2,406.81,North,40
49,2024-03-29,Shoes,Electronics,5,506.81,West,26
50,2024-11-11,Laptop,Clothing,4,241.45,East,11
51,2024-01-14,Laptop,Electronics,8,466.57,South,4
52,2024-08-29,Phone,Furniture,1,689.98,East,4
53,2024-09-21,Laptop,Electronics,3,462.54,South,21
54,2024-12-11,Shoes,Electronics,8,52.08,South,12
55,2024-02-22,Chair,Clothing,5,265.25,North,15
56,2024-12-05,Shoes,Furniture,4,357.95,East,25
57,2024-04-01,Phone,Clothing,6,361.17,North,8
58,2024-09-20,Shoes,Clothing,5,90.2,West,47
59,2024-02-04,Shirt,Furniture,3,455.07,East,31
60,2024-07-24,Chair,Electronics,5,695.03,North,18
61,2024-03-21,Shirt,Clothing,4,58.19,East,35
62,2024-02-19,Shirt,Electronics,1,753.41,North,27
63,2024-12-25,Phone,Furniture,1,955.55,North,14
64,2024-01-02,Laptop,Clothing,7,19.24,East,8
65,2024-02-23,Shirt,Electronics,4,201.76,West,15
66,2024-04-15,Shoes,Electronics,1,548.05,North,5
67,2024-09-16,Laptop,Clothing,6,225.87,North,7
68,2024-11-05,Shoes,Furniture,1,766.98,East,32
69,2024-07-09,Shoes,Electronics,8,319.01,West,31
70,2024-08-05,Laptop,Furniture,9,300.69,East,45
71,2024-02-13,Laptop,Clothing,3,10.91,South,35
72,2024-06-10,Shoes,Electronics,7,277.42,East,41
73,2024-07-20,Phone,Electronics,5,225.49,South,47
74,2024-09-26,Chair,Electronics,3,349.81,North,35
75,2024-12-16,Chair,Furniture,5,156.18,West,33
76,2024-10-30,Phone,Electronics,7,598.7,West,1
77,2024-09-27,Laptop,Electronics,7,246.35,East,12
78,2024-08-02,Shoes,Clothing,9,833.43,South,42
79,2024-09-08,Chair,Electronics,8,291.71,East,9
80,2024-07-08,Shoes,Furniture,4,218.76,West,37
81,2024-10-22,Phone,Clothing,5,66.18,South,6
82,2024-07-31,Shoes,Clothing,5,742.51,West,46
83,2024-07-26,Phone,Electronics,2,513.13,South,2
84,2024-08-24,Laptop,Clothing,7,122.65,East,26
85,2024-12-03,Phone,Electronics,7,229.12,North,13
86,2024-02-22,Phone,Clothing,9,998.73,North,29
87,2024-10-06,Chair,Furniture,9,807.97,South,33
88,2024-08-04,Shoes,Electronics,4,356.37,South,22
89,2024-09-08,Chair,Furniture,5,547.13,North,47
90,2024-07-06,Shirt,Electronics,7,421.86,East,16
91,2024-02-10,Phone,Furniture,7,46.03,East,14
92,2024-06-05,Shirt,Furniture,8,780.89,West,44
93,2024-01-15,Chair,Clothing,8,719.82,West,43
94,2024-10-27,Shoes,Electronics,2,414.71,North,6
95,2024-03-05,Chair,Clothing,9,847.44,North,2
96,2024-12-10,Shoes,Furniture,4,539.39,North,8
97,2024-11-22,Shoes,Electronics,1,74.56,South,2
98,2024-01-09,Laptop,Furniture,1,266.81,West,47
99,2024-12-09,Phone,Furniture,5,467.16,North,34
100,2024-05-08,Chair,Furniture,7,112.41,North,39
101,2024-05-15,Shoes,Furniture,5,575.37,West,7
102,2024-03-03,Chair,Clothing,3,129.36,North,25
103,2024-05-18,Chair,Furniture,7,208.5,North,14
104,2024-03-21,Shoes,Clothing,1,895.04,East,4
105,2024-06-11,Shirt,Furniture,1,999.81,West,12
106,2024-10-15,Phone,Electronics,2,554.75,East,14
107,2024-09-17,Phone,Furniture,1,623.45,West,38
108,2024-08-18,Laptop,Furniture,9,799.46,North,11
109,2024-02-10,Laptop,Electronics,4,699.18,South,34
110,2024-01-28,Laptop,Electronics,7,190.64,South,7
111,2024-05-14,Phone,Furniture,5,417.55,East,9
112,2024-07-19,Shirt,Furniture,7,539.77,South,33
113,2024-11-23,Phone,Clothing,7,366.11,South,7
114,2024-09-24,Phone,Electronics,1,184.35,East,21
115,2024-02-02,Phone,Electronics,1,738.75,North,49
116,2024-02-17,Phone,Clothing,3,206.86,West,11
117,2024-03-02,Shirt,Furniture,2,267.88,North,21
118,2024-08-03,Laptop,Furniture,7,293.65,East,26
119,2024-10-19,Chair,Electronics,3,170.16,North,17
120,2024-04-08,Laptop,Clothing,7,851.06,North,18
121,2024-06-20,Laptop,Furniture,9,614.51,East,4
122,2024-12-25,Chair,Electronics,1,836.4,East,15
123,2024-08-01,Phone,Furniture,3,498.79,East,48
124,2024-02-04,Shirt,Furniture,6,524.37,South,40
125,2024-08-14,Shirt,Furniture,9,619.98,East,9
126,2024-04-10,Laptop,Electronics,5,377.21,East,18
127,2024-05-10,Chair,Clothing,3,501.62,East,43
128,2024-09-13,Shoes,Clothing,8,551.45,East,0
129,2024-01-05,Phone,Furniture,5,954.01,North,21
130,2024-08-05,Laptop,Clothing,6,884.08,East,16
131,2024-09-11,Shirt,Furniture,2,137.95,West,34
132,2024-12-24,Chair,Electronics,4,50.87,East,38
133,2024-10-09,Chair,Electronics,1,683.53,West,8
134,2024-07-25,Laptop,Electronics,4,58.71,West,4
135,2024-01-15,Shoes,Furniture,1,69.75,South,8
136,2024-12-11,Shirt,Clothing,4,167.67,South,10
137,2024-02-11,Laptop,Electronics,2,358.19,North,13
138,2024-06-27,Shoes,Furniture,6,440.65,East,45
139,2024-03-03,Chair,Clothing,6,524.18,East,39
140,2024-12-17,Phone,Clothing,8,992.37,West,23
141,2024-08-18,Shirt,Clothing,9,391.38,East,19
142,2024-08-28,Shirt,Furniture,8,250.33,West,32
143,2024-02-21,Shoes,Furniture,1,579.5,South,3
144,2024-04-05,Laptop,Furniture,3,223.0,North,15
145,2024-08-09,Chair,Electronics,6,941.14,South,24
146,2024-08-18,Shoes,Furniture,1,266.66,East,0
147,2024-08-24,Phone,Electronics,8,990.03,West,23
148,2024-05-22,Phone,Electronics,6,424.48,South,2
149,2024-06-19,Phone,Electronics,1,814.56,East,31
150,2024-01-29,Shoes,Furniture,2,651.8,West,33
151,2024-02-05,Chair,Electronics,6,934.16,East,48
152,2024-01-13,Shirt,Furniture,8,629.17,East,24
153,2024-06-08,Laptop,Furniture,5,585.41,North,42
154,2024-11-22,Shirt,Electronics,1,656.32,South,2
155,2024-07-05,Chair,Electronics,2,788.6,East,6
156,2024-08-30,Shirt,Electronics,4,899.85,East,41
157,2024-03-26,Shoes,Furniture,4,274.15,North,34
158,2024-10-10,Phone,Furniture,7,208.88,North,28
159,2024-03-06,Chair,Electronics,2,44.01,West,39
160,2024-06-18,Chair,Electronics,7,376.38,East,24
161,2024-02-14,Shirt,Clothing,7,847.72,East,27
162,2024-03-02,Shoes,Electronics,7,79.16,East,23
163,2024-05-13,Shirt,Clothing,3,543.13,East,4
164,2024-10-10,Shirt,Clothing,6,697.84,North,26
165,2024-01-28,Chair,Furniture,6,838.48,South,9
166,2024-04-17,Shirt,Furniture,4,587.6,North,11
167,2024-02-13,Phone,Clothing,1,194.46,West,17
168,2024-12-05,Shirt,Clothing,9,964.89,North,37
169,2024-10-12,Phone,Electronics,2,103.7,South,7
170,2024-11-26,Chair,Clothing,9,771.31,East,49
171,2024-05-07,Shoes,Electronics,8,95.69,West,37
172,2024-12-13,Phone,Furniture,1,151.98,West,29
173,2024-08-18,Shoes,Electronics,7,899.23,East,8
174,2024-07-08,Shoes,Furniture,3,755.54,South,47
175,2024-08-12,Phone,Clothing,9,371.85,North,42
176,2024-10-09,Chair,Clothing,5,642.34,East,24
177,2024-04-30,Laptop,Clothing,3,462.67,South,29
178,2024-04-25,Shoes,Electronics,8,75.87,South,1
179,2024-08-20,Shoes,Furniture,3,723.92,South,16
180,2024-09-15,Chair,Furniture,7,765.62,East,44
181,2024-12-24,Chair,Furniture,7,883.52,South,6
182,2024-07-16,Shirt,Furniture,7,545.23,West,21
183,2024-05-16,Chair,Furniture,1,676.41,West,9
184,2024-11-13,Shoes,Electronics,5,443.67,North,25
185,2024-06-13,Phone,Furniture,1,325.72,North,12
186,2024-08-12,Laptop,Clothing,7,417.58,South,41
187,2024-11-02,Shirt,Furniture,8,912.63,South,27
188,2024-08-21,Phone,Clothing,7,172.53,South,35
189,2024-06-20,Laptop,Electronics,1,256.01,North,10
190,2024-05-31,Laptop,Electronics,3,610.13,West,8
191,2024-11-10,Laptop,Clothing,3,125.12,West,15
192,2024-06-08,Phone,Furniture,7,892.95,East,16
193,2024-04-05,Shirt,Electronics,4,56.76,North,4
194,2024-08-20,Shirt,Electronics,3,757.76,South,4
195,2024-06-28,Laptop,Electronics,6,379.99,West,37
196,2024-04-22,Phone,Furniture,6,60.65,East,30
197,2024-11-13,Laptop,Clothing,5,844.5,West,1
198,2024-02-21,Chair,Clothing,6,644.06,East,26
199,2024-09-24,Shirt,Furniture,3,18.77,South,45
200,2024-10-21,Shoes,Electronics,5,274.86,South,42
201,2024-04-22,Laptop,Furniture,9,358.53,West,18
202,2024-04-10,Chair,Furniture,4,329.35,North,42
203,2024-04-22,Shirt,Clothing,2,503.36,West,24
204,2024-03-21,Phone,Furniture,5,531.53,North,37
205,2024-07-05,Shirt,Furniture,3,402.79,West,12
206,2024-04-22,Phone,Electronics,3,338.45,North,28
207,2024-01-02,Phone,Electronics,4,509.37,South,18
208,2024-05-09,Laptop,Clothing,4,43.28,East,34
209,2024-08-07,Laptop,Electronics,5,648.75,North,24
210,2024-02-23,Shirt,Furniture,7,609.92,South,47
211,2024-12-08,Chair,Furniture,4,286.43,East,8
212,2024-08-11,Shirt,Furniture,7,187.72,South,34
213,2024-08-12,Shoes,Clothing,9,82.26,South,14
214,2024-05-05,Phone,Electronics,3,591.47,South,21
215,2024-05-09,Phone,Furniture,5,573.21,North,12
216,2024-02-22,Laptop,Electronics,4,537.98,South,48
217,2024-06-20,Chair,Electronics,9,985.76,South,29
218,2024-08-05,Laptop,Electronics,5,536.23,South,20
219,2024-06-08,Shoes,Electronics,2,724.57,North,24
220,2024-07-16,Shirt,Clothing,1,121.79,West,24
221,2024-09-03,Shirt,Clothing,7,305.98,South,39
222,2024-11-19,Chair,Clothing,1,282.69,West,21
223,2024-07-21,Laptop,Furniture,8,580.22,South,45
224,2024-07-02,Laptop,Furniture,9,337.51,North,40
225,2024-05-02,Shoes,Furniture,7,644.66,West,2
226,2024-09-11,Shirt,Clothing,9,693.19,South,8
227,2024-10-20,Laptop,Electronics,6,43.35,West,23
228,2024-10-06,Chair,Clothing,7,643.36,East,43
229,2024-11-20,Shirt,Furniture,3,125.62,West,46
230,2024-04-07,Shoes,Furniture,9,470.48,South,31
231,2024-07-16,Chair,Electronics,3,729.31,West,16
232,2024-08-27,Phone,Clothing,6,706.31,South,40
233,2024-05-23,Shoes,Electronics,4,306.82,West,23
234,2024-04-06,Chair,Clothing,9,279.64,West,7
235,2024-07-19,Laptop,Furniture,1,445.82,North,5
236,2024-05-03,Phone,Electronics,9,196.78,North,8
237,2024-07-05,Shoes,Electronics,4,974.95,West,14
238,2024-11-21,Laptop,Clothing,5,351.47,North,23
239,2024-12-14,Phone,Clothing,1,923.76,North,49
240,2024-09-15,Shirt,Clothing,1,909.18,East,10
241,2024-05-27,Laptop,Furniture,6,371.2,South,30
242,2024-09-08,Chair,Clothing,1,261.54,South,45
243,2024-12-11,Shoes,Furniture,2,773.13,East,44
244,2024-05-26,Phone,Clothing,3,237.08,West,44
245,2024-05-27,Laptop,Clothing,7,526.03,North,12
246,2024-12-17,Shirt,Furniture,2,119.58,South,29
247,2024-07-17,Shoes,Clothing,5,392.07,East,24
248,2024-11-03,Shoes,Furniture,9,87.37,South,47
249,2024-05-07,Laptop,Furniture,8,290.61,West,11
250,2024-02-08,Shirt,Clothing,8,668.64,East,20
251,2024-12-03,Phone,Clothing,2,991.39,West,23
252,2024-12-25,Laptop,Electronics,1,262.26,West,25
253,2024-05-08,Phone,Clothing,9,478.59,East,49
254,2024-09-23,Shoes,Electronics,4,453.57,South,11
255,2024-05-30,Phone,Clothing,9,192.31,North,36
256,2024-10-24,Shirt,Furniture,7,613.97,North,48
257,2024-04-08,Chair,Furniture,6,727.46,East,20
258,2024-09-19,Shirt,Electronics,9,155.75,North,22
259,2024-09-08,Phone,Clothing,4,759.55,West,0
260,2024-05-23,Laptop,Electronics,1,703.16,South,44
261,2024-12-11,Shoes,Clothing,5,205.37,East,9
262,2024-04-21,Chair,Clothing,6,652.46,West,34
263,2024-02-29,Laptop,Furniture,6,399.73,West,37
264,2024-01-02,Laptop,Electronics,1,684.33,South,47
265,2024-10-30,Shirt,Furniture,7,501.14,South,27
266,2024-09-10,Phone,Furniture,8,57.66,North,0
267,2024-05-19,Shirt,Furniture,5,789.1,South,7
268,2024-02-06,Phone,Electronics,2,560.04,East,40
269,2024-06-08,Shirt,Clothing,2,727.55,East,22
270,2024-01-09,Laptop,Clothing,5,134.81,South,19
271,2024-08-20,Shoes,Electronics,7,724.06,South,31
272,2024-04-08,Phone,Clothing,7,419.53,West,22
273,2024-05-26,Chair,Electronics,4,801.27,East,6
274,2024-10-30,Chair,Electronics,3,603.17,North,10
275,2024-07-26,Laptop,Clothing,9,361.35,West,7
276,2024-05-10,Shirt,Furniture,7,209.9,West,42
277,2024-05-31,Shirt,Electronics,2,817.76,North,13
278,2024-02-23,Laptop,Electronics,1,564.59,North,13
279,2024-04-29,Chair,Electronics,2,987.59,South,35
280,2024-06-09,Chair,Electronics,3,379.75,South,40
281,2024-04-25,Shirt,Clothing,5,688.86,West,39
282,2024-03-15,Phone,Clothing,3,626.59,East,46
283,2024-04-22,Shoes,Electronics,9,641.21,East,26
284,2024-04-13,Phone,Furniture,4,739.61,West,19
285,2024-12-05,Chair,Clothing,7,147.72,East,37
286,2024-09-10,Phone,Furniture,4,554.15,East,24
287,2024-08-14,Shoes,Furniture,3,514.04,North,47
288,2024-04-21,Phone,Electronics,1,349.1,South,47
289,2024-04-08,Phone,Clothing,9,441.79,South,28
290,2024-06-01,Phone,Electronics,1,523.62,West,13
291,2024-12-14,Phone,Electronics,1,327.71,North,27
292,2024-12-03,Laptop,Furniture,1,300.23,East,29
293,2024-07-12,Chair,Furniture,5,740.89,West,14
294,2024-11-05,Shoes,Furniture,7,76.25,West,20
295,2024-06-11,Chair,Electronics,7,319.83,East,11
296,2024-07-26,Laptop,Electronics,1,657.17,South,49
297,2024-06-17,Laptop,Electronics,6,216.69,East,10
298,2024-06-09,Laptop,Electronics,9,576.55,West,38
299,2024-03-08,Laptop,Electronics,6,309.14,South,5
300,2024-10-15,Phone,Electronics,4,844.87,West,2
301,2024-10-03,Chair,Electronics,9,356.49,North,40
302,2024-10-30,Shirt,Electronics,3,237.22,South,14
303,2024-05-14,Shoes,Clothing,4,534.8,West,33
304,2024-07-13,Laptop,Clothing,4,144.3,West,3
305,2024-05-07,Chair,Clothing,4,799.51,North,33
306,2024-02-02,Laptop,Clothing,6,683.23,East,37
307,2024-06-24,Laptop,Electronics,7,772.8,South,43
308,2024-01-22,Laptop,Electronics,9,404.89,West,38
309,2024-08-25,Laptop,Furniture,3,836.65,West,40
310,2024-06-06,Laptop,Furniture,8,498.61,West,5
311,2024-02-07,Shoes,Clothing,8,103.75,West,21
312,2024-08-17,Chair,Furniture,1,231.79,East,36
313,2024-12-30,Laptop,Clothing,5,713.94,East,31
314,2024-02-20,Laptop,Electronics,5,897.46,East,27
315,2024-09-20,Laptop,Electronics,8,104.23,South,25
316,2024-10-09,Laptop,Furniture,8,865.57,East,3
317,2024-01-27,Phone,Electronics,2,801.08,South,9
318,2024-08-13,Phone,Electronics,3,363.0,East,26
319,2024-10-03,Shirt,Clothing,2,692.38,West,19
320,2024-10-12,Laptop,Furniture,1,195.08,North,35
321,2024-04-06,Shirt,Electronics,2,815.26,South,4
322,2024-10-10,Shoes,Furniture,6,660.77,North,16
323,2024-11-12,Shirt,Electronics,1,444.44,North,49
324,2024-10-30,Chair,Clothing,6,865.87,West,31
325,2024-05-26,Phone,Electronics,1,147.84,West,34
326,2024-01-04,Phone,Furniture,2,847.33,South,22
327,2024-02-04,Laptop,Furniture,8,33.65,South,12
328,2024-07-10,Laptop,Clothing,6,755.67,South,0
329,2024-02-18,Shoes,Electronics,9,577.63,East,30
330,2024-01-17,Shoes,Clothing,1,699.76,East,18
331,2024-06-20,Chair,Furniture,5,418.22,North,22
332,2024-08-07,Laptop,Clothing,7,865.8,South,33
333,2024-06-06,Laptop,Electronics,9,320.02,North,3
334,2024-02-15,Shoes,Electronics,9,282.21,East,47
335,2024-01-06,Shoes,Clothing,4,308.73,North,47
336,2024-04-08,Shoes,Furniture,4,776.62,North,48
337,2024-08-20,Phone,Furniture,4,500.34,South,43
338,2024-02-06,Shirt,Clothing,3,541.71,South,33
339,2024-10-06,Shirt,Electronics,8,833.34,North,29
340,2024-12-14,Laptop,Electronics,5,835.03,East,9
341,2024-10-28,Phone,Electronics,7,170.12,North,5
342,2024-06-29,Shoes,Electronics,6,554.27,East,11
343,2024-04-04,Laptop,Furniture,9,134.76,North,11
344,2024-04-08,Phone,Electronics,3,869.84,North,48
345,2024-07-06,Chair,Clothing,6,838.64,South,17
346,2024-04-25,Phone,Clothing,3,850.86,North,35
347,2024-07-09,Laptop,Clothing,2,707.81,East,34
348,2024-09-09,Shirt,Clothing,3,472.21,North,24
349,2024-06-09,Shoes,Electronics,2,410.67,North,48
350,2024-09-12,Chair,Furniture,2,401.27,East,40
351,2024-11-18,Phone,Electronics,7,75.55,North,21
352,2024-05-07,Laptop,Furniture,3,949.38,North,29
353,2024-01-18,Laptop,Electronics,8,455.77,North,43
354,2024-10-07,Shoes,Furniture,2,930.81,North,28
355,2024-08-10,Laptop,Clothing,7,880.46,East,6
356,2024-02-23,Laptop,Clothing,3,830.32,West,47
357,2024-02-27,Shoes,Furniture,9,592.43,East,39
358,2024-11-18,Chair,Furniture,7,110.54,East,2
359,2024-12-25,Shirt,Furniture,9,330.67,West,20
360,2024-06-22,Shirt,Clothing,2,607.55,East,44
361,2024-10-06,Phone,Clothing,6,23.32,North,19
362,2024-04-23,Chair,Electronics,5,52.2,East,8
363,2024-10-14,Phone,Furniture,2,680.89,North,40
364,2024-12-07,Shirt,Furniture,4,889.32,South,35
365,2024-05-30,Shoes,Furniture,4,856.61,North,13
366,2024-05-06,Laptop,Clothing,8,176.46,North,17
367,2024-06-03,Shirt,Furniture,7,912.12,East,32
368,2024-09-29,Chair,Furniture,5,699.34,East,1
369,2024-04-13,Shirt,Clothing,9,719.16,East,36
370,2024-10-25,Chair,Furniture,1,311.0,South,30
371,2024-09-02,Chair,Electronics,4,718.84,West,21
372,2024-06-24,Chair,Clothing,5,712.67,North,45
373,2024-02-08,Phone,Clothing,8,598.72,West,8
374,2024-06-18,Shoes,Clothing,3,363.72,West,19
375,2024-09-03,Shirt,Electronics,5,812.9,South,19
376,2024-01-26,Shoes,Clothing,3,938.14,North,46
377,2024-12-20,Laptop,Clothing,7,871.19,North,0
378,2024-11-01,Shirt,Clothing,3,250.55,South,29
379,2024-01-13,Shoes,Clothing,7,451.22,South,18
380,2024-11-11,Shoes,Electronics,2,348.99,North,35
381,2024-11-08,Laptop,Furniture,7,710.4,South,13
382,2024-02-05,Chair,Furniture,9,833.18,East,0
383,2024-06-21,Shirt,Clothing,5,223.64,North,4
384,2024-01-20,Shirt,Electronics,6,947.8,West,9
385,2024-11-16,Laptop,Clothing,3,680.56,East,8
386,2024-09-20,Chair,Furniture,5,226.26,West,48
387,2024-05-21,Shirt,Furniture,5,377.38,South,13
388,2024-05-22,Shirt,Electronics,3,113.56,West,38
389,2024-04-01,Shirt,Furniture,8,601.1,East,17
390,2024-12-19,Chair,Clothing,6,177.5,South,41
391,2024-11-17,Laptop,Electronics,3,696.16,East,24
392,2024-10-14,Shirt,Furniture,1,739.87,South,35
393,2024-08-02,Shoes,Clothing,1,484.54,North,30
394,2024-12-07,Chair,Electronics,2,102.88,West,45
395,2024-02-20,Phone,Clothing,5,614.76,West,34
396,2024-06-01,Laptop,Furniture,7,378.48,North,26
397,2024-07-04,Shoes,Clothing,1,950.15,North,21
398,2024-03-03,Shirt,Electronics,1,518.07,West,10
399,2024-07-08,Phone,Clothing,4,81.54,North,9
400,2024-05-04,Laptop,Furniture,6,639.69,South,7
401,2024-05-29,Chair,Electronics,9,781.56,West,40
402,2024-11-09,Phone,Electronics,1,168.9,East,27
403,2024-02-27,Phone,Furniture,5,454.57,North,22
404,2024-12-07,Shoes,Clothing,9,745.76,South,5
405,2024-10-31,Laptop,Clothing,8,30.29,West,13
406,2024-06-28,Shoes,Furniture,7,38.68,West,23
407,2024-06-18,Shoes,Electronics,2,680.14,South,8
408,2024-11-21,Shirt,Furniture,9,727.88,North,45
409,2024-09-27,Chair,Electronics,8,847.41,West,39
410,2024-02-23,Phone,Electronics,9,405.6,North,37
411,2024-04-10,Laptop,Clothing,9,395.88,South,24
412,2024-09-20,Chair,Furniture,9,556.84,East,37
413,2024-02-22,Chair,Electronics,3,759.75,South,29
414,2024-02-29,Laptop,Clothing,7,644.58,North,21
415,2024-04-17,Chair,Furniture,1,334.05,West,1
416,2024-01-05,Shirt,Furniture,9,353.08,North,24
417,2024-04-12,Chair,Electronics,9,765.37,North,23
418,2024-07-14,Shirt,Electronics,3,539.3,East,36
419,2024-09-18,Phone,Electronics,5,107.0,West,2
420,2024-12-30,Phone,Furniture,8,161.47,East,42
421,2024-12-15,Shoes,Electronics,6,852.68,East,25
422,2024-02-16,Shirt,Furniture,9,998.82,South,29
423,2024-12-20,Phone,Clothing,3,342.33,South,28
424,2024-11-06,Chair,Furniture,7,392.83,West,6
425,2024-11-03,Laptop,Electronics,6,162.94,East,8
426,2024-05-23,Laptop,Furniture,5,243.36,East,44
427,2024-09-25,Shirt,Electronics,4,430.38,North,29
428,2024-05-03,Shoes,Clothing,5,291.55,North,15
429,2024-04-15,Chair,Electronics,4,704.41,South,43
430,2024-06-06,Shirt,Electronics,3,542.47,East,39
431,2024-05-26,Laptop,Electronics,7,824.07,West,13
432,2024-05-24,Shirt,Electronics,6,727.28,East,25
433,2024-04-29,Chair,Electronics,4,136.82,South,45
434,2024-11-14,Phone,Electronics,9,132.16,West,36
435,2024-10-01,Chair,Clothing,1,896.69,East,9
436,2024-04-01,Phone,Clothing,1,821.32,North,29
437,2024-02-27,Phone,Furniture,9,473.24,East,21
438,2024-12-11,Phone,Electronics,7,139.06,South,29
439,2024-08-16,Shirt,Furniture,2,899.59,South,31
440,2024-04-26,Laptop,Clothing,5,238.39,East,13
441,2024-11-13,Shirt,Clothing,4,45.18,South,22
442,2024-10-05,Laptop,Electronics,1,925.0,North,16
443,2024-05-06,Chair,Electronics,9,810.85,North,35
444,2024-05-08,Shoes,Furniture,6,696.55,North,28
445,2024-02-27,Chair,Clothing,6,43.69,East,23
446,2024-05-01,Shirt,Furniture,4,533.15,South,46
447,2024-01-01,Shirt,Furniture,2,657.1,North,10
448,2024-08-26,Laptop,Furniture,8,761.75,West,40
449,2024-10-16,Shirt,Electronics,8,476.36,South,14
450,2024-04-05,Phone,Clothing,3,953.82,South,21
451,2024-05-05,Shirt,Furniture,7,252.33,West,26
452,2024-04-27,Laptop,Clothing,7,79.04,South,33
453,2024-02-17,Laptop,Clothing,5,339.44,North,32
454,2024-03-29,Phone,Furniture,5,665.19,South,20
455,2024-08-24,Laptop,Furniture,8,739.79,North,23
456,2024-09-28,Shoes,Electronics,4,741.11,North,19
457,2024-07-07,Chair,Clothing,1,119.57,North,48
458,2024-07-10,Shirt,Furniture,1,886.24,East,3
459,2024-03-09,Shoes,Furniture,9,288.03,South,36
460,2024-10-04,Shirt,Clothing,4,217.81,West,36
461,2024-12-14,Shoes,Furniture,1,618.31,East,45
462,2024-09-03,Shirt,Clothing,2,219.73,East,32
463,2024-03-16,Phone,Furniture,7,512.96,East,30
464,2024-06-02,Laptop,Clothing,2,412.96,East,33
465,2024-05-23,Laptop,Furniture,1,239.71,North,21
466,2024-03-26,Phone,Furniture,9,299.14,North,41
467,2024-07-03,Shoes,Electronics,5,433.13,West,29
468,2024-10-11,Chair,Clothing,4,352.7,South,4
469,2024-08-07,Shoes,Electronics,4,387.76,West,40
470,2024-03-09,Laptop,Furniture,1,738.08,South,44
471,2024-02-16,Chair,Clothing,3,176.7,North,22
472,2024-04-03,Shirt,Clothing,1,631.34,South,12
473,2024-08-25,Chair,Furniture,5,681.38,South,8
474,2024-07-22,Shoes,Furniture,5,804.07,East,13
475,2024-08-05,Phone,Furniture,9,848.85,West,16
476,2024-12-06,Shirt,Furniture,8,167.08,East,34
477,2024-02-08,Shoes,Clothing,5,146.88,East,17
478,2024-04-09,Shirt,Electronics,5,618.62,East,11
479,2024-10-15,Chair,Clothing,7,759.35,East,40
480,2024-09-10,Laptop,Clothing,2,279.6,North,15
481,2024-08-09,Shoes,Clothing,7,530.59,West,29
482,2024-12-22,Phone,Clothing,1,774.52,East,12
483,2024-01-23,Chair,Furniture,5,769.83,West,17
484,2024-09-06,Shoes,Electronics,6,657.28,East,11
485,2024-01-10,Phone,Clothing,1,88.0,North,33
486,2024-09-02,Shoes,Clothing,9,60.14,East,32
